invoice_id,carrier,origin,destination,lane_id,shipment_weight_lb,billed_base_rate,billed_fuel_surcharge_pct,billed_accessorial_fee,billed_total_amount
INV-2025-0001,FastFreight Inc,33101,20001,LANE_007,2175.69,0.39,0.11,0.0,941.86
INV-2025-0002,NationalFreight Co,75201,30301,LANE_002,759.73,0.38,0.115,0.0,321.9
INV-2025-0003,ReliableHaul LLC,75201,30301,LANE_002,3975.35,0.38,0.1474,0.0,1733.3
INV-2025-0004,ReliableHaul LLC,60601,10001,LANE_001,1339.79,0.42,0.12,75.0,705.24
INV-2025-0005,ReliableHaul LLC,94102,92101,LANE_006,3305.85,0.44,0.12,0.0,1629.12
INV-2025-0006,FastFreight Inc,75201,30301,LANE_002,4301.58,0.38,0.115,0.0,1822.58
INV-2025-0006,ReliableHaul LLC,85001,78701,LANE_004,2880.01,0.48,0.2038,0.0,1664.14
INV-2025-0008,NationalFreight Co,98101,80202,LANE_003,2156.23,0.55,0.142,0.0,1354.33
INV-2025-0009,NationalFreight Co,94102,92101,LANE_006,3481.95,0.44,0.12,0.0,1715.9
INV-2025-0010,NationalFreight Co,85001,78701,LANE_004,3718.3,0.48,0.1779,0.0,2102.3
INV-2025-0011,NationalFreight Co,33101,20001,LANE_007,888.03,0.39,0.11,170.0,554.43
INV-2025-0012,ReliableHaul LLC,02101,19101,LANE_005,2493.84,0.51,0.128,0.0,1434.66
INV-2025-0013,FastFreight Inc,63101,37201,LANE_009,4567.18,0.53,0.14,0.0,2759.49
INV-2025-0014,NationalFreight Co,40202,44101,LANE_010,3894.07,0.45,0.125,0.0,1971.37
INV-2025-0015,NationalFreight Co,60601,10001,LANE_001,3705.64,0.42,0.12,220.0,1963.13
INV-2025-0016,FastFreight Inc,02101,19101,LANE_005,1671.44,0.51,0.128,0.0,961.55
INV-2025-0017,NationalFreight Co,85001,78701,LANE_004,733.29,0.48,0.13,0.0,397.74
INV-2025-0018,NationalFreight Co,55401,43215,LANE_008,4842.49,0.47,0.135,0.0,2583.23
INV-2025-0018,FastFreight Inc,98101,80202,LANE_003,3994.68,0.55,0.142,0.0,2509.06
INV-2025-0020,ReliableHaul LLC,94102,92101,LANE_006,775.49,0.44,0.12,0.0,382.16
INV-2025-0021,ReliableHaul LLC,94102,92101,LANE_006,4495.89,0.44,0.12,0.0,2215.57
INV-2025-0022,NationalFreight Co,85001,78701,LANE_004,1685.72,0.48,0.13,0.0,914.33
INV-2025-0023,FastFreight Inc,60601,10001,LANE_001,987.81,0.42,0.12,0.0,464.67
INV-2025-0024,FastFreight Inc,02101,19101,LANE_005,2412.94,0.7452,0.1849,0.0,2130.6
INV-2025-0025,ReliableHaul LLC,75201,30301,LANE_002,3616.55,0.38,0.115,75.0,1607.33
INV-2025-0026,NationalFreight Co,40202,44101,LANE_010,1729.77,0.45,0.125,75.0,950.7
INV-2025-0027,ReliableHaul LLC,98101,80202,LANE_003,544.96,0.55,0.142,95.0,437.29
INV-2025-0028,FastFreight Inc,55401,43215,LANE_008,2499.35,0.47,0.135,0.0,1333.28
INV-2025-0029,FastFreight Inc,40202,44101,LANE_010,2971.56,0.45,0.125,0.0,1504.35
INV-2025-0030,NationalFreight Co,60601,10001,LANE_001,1461.64,0.42,0.1823,95.0,820.8
INV-2025-0031,ReliableHaul LLC,63101,37201,LANE_009,4468.06,0.53,0.14,0.0,2699.6
INV-2025-0032,ReliableHaul LLC,98101,80202,LANE_003,1345.93,0.55,0.1848,0.0,877.06
INV-2025-0033,FastFreight Inc,94102,92101,LANE_006,4991.15,0.5686,0.1749,125.0,3459.33
INV-2025-0034,ReliableHaul LLC,85001,78701,LANE_004,2111.77,0.48,0.13,0.0,1145.42
INV-2025-0035,NationalFreight Co,02101,19101,LANE_005,1969.36,0.51,0.128,50.0,1182.93
INV-2025-0036,ReliableHaul LLC,02101,19101,LANE_005,1579.6,0.51,0.128,0.0,908.71
INV-2025-0037,FastFreight Inc,85001,78701,LANE_004,4486.64,0.48,0.13,0.0,2433.55
INV-2025-0038,FastFreight Inc,94102,92101,LANE_006,2247.98,0.44,0.12,0.0,1107.8
INV-2025-0039,FastFreight Inc,75201,30301,LANE_002,4287.21,0.6227,0.1498,125.0,3194.56
INV-2025-0040,ReliableHaul LLC,94102,92101,LANE_006,2269.12,0.44,0.12,0.0,1118.22
INV-2025-0041,FastFreight Inc,94102,92101,LANE_006,2942.2,0.44,0.1644,0.0,1507.39
INV-2025-0042,FastFreight Inc,55401,43215,LANE_008,3753.25,0.47,0.135,125.0,2127.17
INV-2025-0043,NationalFreight Co,75201,30301,LANE_002,2114.19,0.6372,0.1543,0.0,1555.03
INV-2025-0044,FastFreight Inc,98101,80202,LANE_003,1963.18,0.55,0.142,95.0,1328.07
INV-2025-0045,NationalFreight Co,60601,10001,LANE_001,1485.64,0.42,0.12,0.0,698.85
INV-2025-0046,ReliableHaul LLC,60601,10001,LANE_001,4522.41,0.42,0.12,0.0,2127.34
INV-2025-0047,ReliableHaul LLC,33101,20001,LANE_007,1338.28,0.39,0.11,0.0,579.34
INV-2025-0048,FastFreight Inc,33101,20001,LANE_007,2346.72,0.39,0.11,0.0,1015.9
INV-2025-0049,NationalFreight Co,02101,19101,LANE_005,2177.15,0.51,0.128,0.0,1252.47
INV-2025-0050,NationalFreight Co,40202,44101,LANE_010,2682.02,0.45,0.125,0.0,1357.77
